,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
88,.\test\VOICEACTRESS100_094.wav,13.449625,16000,4,3.0981858,3.492474,3.6868737,2.851572928622668,3.2444012570067797,3.7441192599320554,3.4059606
89,.\test\VOICEACTRESS100_095.wav,6.9585625,16000,4,2.9411228,3.2174084,3.6874988,2.7406272024195273,3.063692551913489,3.744184210656597,3.581809
90,.\test\VOICEACTRESS100_069.wav,8.1295625,16000,7,2.585165,2.9421184,3.4366138,2.476460372761263,2.8688270387116814,3.576107891789636,3.2821538
91,.\test\VOICEACTRESS100_091.wav,3.66075,16000,5,3.0864296,3.322805,3.9091382,2.843411822083396,3.13375483845226,3.8810367541561517,3.4374306
92,.\test\VOICEACTRESS100_081.wav,7.8254375,16000,6,2.917613,3.268954,3.6184578,2.7238231581552093,3.098224900136629,3.6994122618452594,3.2817135
93,.\test\VOICEACTRESS100_079.wav,8.1553125,16000,7,3.3152707,3.5454173,4.0636053,3.0000304459626257,3.2776145768775087,3.9681415067106056,3.3379016
94,.\test\VOICEACTRESS100_084.wav,8.01575,16000,7,2.903223,3.040675,3.906893,2.7139716454260174,2.9405842688354267,3.8801854794821424,3.41343
95,.\test\VOICEACTRESS100_092.wav,7.5699375,16000,6,2.9269867,3.2705772,3.6387017,2.730853990063022,3.098900607313317,3.7155304576921133,3.5495071
96,.\test\VOICEACTRESS100_087.wav,8.466125,16000,7,3.0619183,3.4332924,3.755758,2.8257418509072383,3.2056260406571857,3.7822475491635976,3.6976738
97,.\test\VOICEACTRESS100_096.wav,8.50525,16000,8,2.8867207,3.2141242,3.52709,2.701415899338847,3.0599736837609237,3.6377870045007277,3.62561
98,.\test\VOICEACTRESS100_097.wav,8.62225,16000,8,2.589252,3.5259016,2.6591601,2.4775102598393093,3.264209864926773,2.9449001373604284,3.7754798
99,.\test\VOICEACTRESS100_100.wav,8.9274375,16000,8,3.2389233,3.5067642,3.9828496,2.948741799133167,3.2532672391646917,3.9240032574630184,3.6428587
